Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
James Weldon Johnson		17-Jun	Jacksonville, FL	26-Jun	Wiscasset, ME	Accident - Automobile	 Buried, 	 Male			 Straight	 Author		 United States	God's Trombones	The Autobiography of an Ex-Colored Man|Fifty Years and Other Poems|Book of American Negro Poetry|God's Trombones|Along This Way|Negro Americans, What Now?|Saint Peter Relates an Incident: Selected Poems
Phillip Johnson	 Phillip Everett Johnson	1940	Aurora, IL					 Male	Presbyterian		 Straight	 Author, 	http://www.arn.org/johnson/johome.htm	 United States	 Intelligent Design theorist	Darwin on Trial|Reason in the Balance: The Case Against Naturalism in Science, Law and Education|Defeating Darwinism By Opening Minds|The Wedge of Truth
Edward P. Jones		1951	Washington, DC					 Male				 Author		 United States	The Known World	Lost in the City|The Known World|All Aunt Hagar's Children
James Jones	 James Ramon Jones	6-Nov	Robinson, IL	9-May	Southampton, NY	 Heart Failure	 Buried, Poxabogue-Evergreen Cemetery, Bridgehampton, NY	 Male			 Straight	 Author		 United States	From Here to Eternity	From Here to Eternity|Some Came Running|The Pistol|The Thin Red Line|Go to the Widow-Maker|A Touch of Danger|The Ice-Cream Headache and Other Stories
Erica Jong	 Erica Mann	26-Mar	New York City					 Female	Jewish		 Straight	 Author		 United States	Fear of Flying	Fruits and Vegetables|Half Lives|Fear of Flying|Loveroot|How to Save Your Own Life|At the Edge of the Body|Fanny|Witches|Ordinary Miracles|Parachutes and Kisses|Serenissima|Any Woman's Blues|Becoming Light: New and Selected Poems|The Devil at Large: Erica Jong on Henry Miller|Fear of Fifty: A Midlife Memoir|Inventing Memory: A Novel of Mothers and Daughters|Seducing the Demon: My Life As a Writer
Robert Jordan	 James Oliver Rigney, Jr.	17-Oct	Charleston, SC	16-Sep	Rochester, MN	Amyloidosis		 Male			 Straight	 Author	http://www.tor.com/jordan/	 United States	Wheel of Time	Conan the Defender|King of Thieves|Conan the Destroyer|The new adventures of Conan|Conan the Invincible|The Eye of the World|The Great Hunt|The Dragon Reborn|The Shadow Rising|The Fires of Heaven|Lord of Chaos|The Conan Chronicles|A Crown of Swords|The Path of Daggers|Snow: The Prologue to Winter's Heart|From the Two Rivers|To the Blight|The Hunt Begins|New Threads In The Pattern
James Joyce	 James Augustine Aloysius Joyce	2-Feb	 Rathgar, Ireland	13-Jan	Zürich, Switzerland	 unspecified	 Buried, Fluntern Cemetery, Zürich, Switzerland	 Male	Roman Catholic			 Author		 Ireland	Ulysses	Chamber Music|Dubliners|A Portrait of the Artist as a Young Man|Ulysses|Pomes Penyeach|Collected Poems|Finnegans Wake|Exiles
Heidi Julavits	 Heidi Suzanne Julavits	20-Apr	Portland, ME					 Female			 Straight	 Author		 United States	The Mineral Palace	The Mineral Palace|The Effect of Living Backwards|The Uses of Enchantment|The Vanishers|The Folded Clock: A Diary
Sebastian Junger		17-Jan	Belmont, MA					 Male			 Straight	 Author		 United States	The Perfect Storm	The Perfect Storm: A True Story of Men Against the Sea|A Death in Belmont
Norton Juster		2-Jun	New York City					 Male			 Straight	 Author		 United States	The Phantom Tollbooth	The Phantom Tollbooth|The Dot and the Line: A Romance in Lower Mathematics|Alberic the Wise and Other Stories|Stark Naked: A Paranomastic Odyssey|Otter Nonsense|As: A Surfeit of Similes|A Woman's Place: Yesterday's Women in Rural America|The Hello, Goodbye Window
Younghill Kang		10-May	 Song-Dune-Chi, Hamkyong, Korea	11-Dec	Satellite Beach, FL	 unspecified		 Male				 Author		 United States	The Grass Roof	
MacKinlay Kantor	 Benjamin Mackinlay Kantor	4-Feb	Webster City, IA	11-Oct	Sarasota, FL	 unspecified	 Buried, Graceland Cemetery, Webster City, IA	 Male			 Straight	 Author		 United States	Andersonville	Long Remember|Glory for Me|Andersonville|It's About Crime|Spirit Lake|I Love You, Irene|Valley Forge
Justin Kaplan		5-Sep	New York City	2-Mar	Cambridge, MA	 unspecified		 Male	Jewish		 Straight	 Author		 United States	Mr. Clemens and Mark Twain	Mr. Clemens and Mark Twain|Lincoln Steffens, A Biography|Walt Whitman, A Life
Mary Karr	 Mary Marlene Karr	16-Jan	Groves, TX					 Female	Roman Catholic		 Straight	 Author, 		 United States	The Liars' Club	The Liars' Club: A Memoir|Cherry: A Memoir
Steven T. Katz	 Steven Theodore Katz	12-Aug	Jersey City, NJ					 Male	Jewish		 Straight	 Author		 United States	 Professor of Religion	Jewish Philosophers|Jewish Ideas and Concepts|Mysticism and Philosophical Analysis|Mysticism and Religious Traditions|Mysticism and Language|Historicism, the Holocaust, and Zionism
Yasunari Kawabata		11-Jun	Osaka, Japan	16-Apr	 Zushi, Japan	Suicide		 Male			 Straight	 Author		 Japan	The Masters of Go	Izu no Odoriko (The Izu Dancer and Other Stories)|Asakusa Kurenaidan (The Scarlet Gang of Asakusa)|Yukiguni (Snow Country)|Meijin (The Masters of Go)|Sembazuru (A Thousand Cranes)|Yama no Oto (The Sound of the Mountain)|Mizuumi (The Lake)|Nemureru Bijo (The House of Sleeping Virgins)|Koto (The Old Capital)|Utsukushisa to Kanashimi (Beauty and Sadness)|Kataude (One Arm)|Tanpopo (Dandelion)|Palm-of-the-Hand Stories|First Snow on Fuji
Guy Gavriel Kay		7-Nov	Weyburn, Saskatchewan, Canada					 Male			 Straight	 Author	http://www.brightweavings.com/	 Canada	Silmarillion	The Summer Tree|The Wandering Fire|The Darkest Road|Tigana|A Song for Arbonne|The Lions of Al-Rassan|Sailing to Sarantium|Lord of Emperors|Beyond This Dark House|The Last Light of the Sun
Kitty Kelley		4-Apr	Spokane, WA					 Female	Roman Catholic		 Straight	 Author		 United States	 Controversial biogratrix	The Glamour Spas|Jackie Oh!|Elizabeth Taylor: The Last Star|His Way: The Unauthorized Biography of Frank Sinatra|Nancy Reagan: The Unauthorized Biography|The Royals|The Family: The Real Story of the Bush Dynasty|Oprah: A Biography|Capturing Camelot: Stanley Tretick's Iconic Images of the Kennedys
Yasar Kemal	 Kemal Sadik Gogceli	6-Oct	 Gökçedam, Turkey	28-Feb	 İstanbul, Turkey	 unspecified		 Male	Muslim		 Straight	 Novelist	http://www.yasarkemal.net/	 Turkey	Mehmet, My Hawk	Türksözü|Teneke (Tin box)|Ince Memed (Mehmet My Hawk)|Ortadirek (The Wind from the Plain)|Yer Demir Gök Bakir (Iron Earth, Copper Sky)|Üç Anadolu Efsanesi (Three Anatolian Tales)|Ölmez Otu (The Undying Grass)|Ince Memed 2 (They Burn the Thistles)|Agridagi Efsanesi (The Legend of Ararat)|Binbogalar Efsanesi (The Legend of the Thousand Bulls)|Çakicali Efe (The Swashbuckler from Chakija)|Demirciler Çarsisi Cinayeti (Murder in the Ironsmiths Market)|Yusufcuk Yusuf (Turtledove Yusuf)|Algözüm Seyreyle Salih (The Saga of a Seagull)|Kuslar da Gitti (The Birds Have Also Gone)|Deniz Küstü (The Sea-Crossed Fisherman|Kuslar da Gitti (Alors les Oiseaux Sont Partis|Ince Memed 3|Ince Memed 4|Firat Suyu Kan Akiyor Baksana (Hey Look, Tigris River Flows Blood)|Salman the Solitary
Amos Kenan	 Amos Levine	2-May	Tel Aviv, Israel	4-Aug	Tel Aviv, Israel	 unspecified		 Male	Jewish		 Straight	 Author, 		 Israel	The Road to Ein Harod	The Road to Ein Harod
Thomas Keneally	 Thomas Michael Keneally	7-Oct	Sydney, New South Wales, Australia					 Male			 Straight	 Author		 Australia	Schindler's Ark	Schindler's Ark|Schindler's List|Homebush Boy: A Memoir
Jean Kerr	 Bridget Jean Collins	10-Jul	Scranton, PA	5-Jan	White Plains, NY	Pneumonia	 Buried, Greenwood Union Cemetery, Rye, NY	 Female			 Straight	 Author, 		 United States	Please Don't Eat the Daisies	Please Don't Eat the Daisies|The Snake Has All the Lines|Penny Candy|How I Got to Be Perfect|The Song of Bernadette|Jenny Kissed Me|Touch-and-Go|John Murray Anderson's Almanac|King of Hearts|Goldilocks|Mary, Mary|Poor Richard|Finishing Touches|Lunch Hour
Imre Kertész		9-Nov	Budapest, Hungary	31-Mar	Budapest, Hungary	 unspecified		 Male	Jewish		 Straight	 Author		 Hungary	 Holocaust survivor, literature Nobel	
Rashid Khalidi		1950	New York City					 Male			 Straight	 Author		 United States	Resurrecting Empire	British Policy Towards Syria and Palestine, 1906-1914|Under Siege: PLO Decision-Making During the 1982 War|Palestinian Identity: The Construction of Modern National Consciousness|Resurrecting Empire: Western Footprints and America's Perilous Path in the Middle East
Rushworth M. Kidder	 Rushworth Moulton Kidder	8-May	Providence, RI	5-Mar	Davie, FL	 unspecified		 Male	Christian Science		 Straight	 Author		 United States	 Founder, Institute for Global Ethics	Dylan Thomas: The Country of the Spirit|E. E. Cummings: An Introduction to the Poetry|An Agenda for the 21st Century|Reinventing the Future: Global Goals for the 21st Century|In the Backyards of Our Lives and Other Essays|Shared Values for a Troubled World: Conversations with Men and Women of Conscience|How Good People Make Tough Choices: Resolving the Dilemmas of Ethical Living|Moral Courage|The Ethics Recession: Reflections on the Moral Underpinnings of the Current Economic Crisis|Good Kids, Tough Choices: How Parents Can Help Their Children Do the Right Thing
Tracy Kidder		12-Nov	New York City					 Male			 Straight	 Author		 United States	The Soul of a New Machine	The Road to Yuba City: A Journey into the Juan Corona Murders|The Soul of a New Machine|House|Among Schoolchildren|Old Friends|Hometown|Mountains Beyond Mountains: Healing the World, The Quest of Dr. Paul Farmer
Cassandra King		18-Feb	Dothan, AL					 Female			 Straight	 Author	http://www.cassandrakingconroy.com/	 United States	The Sunday Wife	Making Waves in Zion|The Sunday Wife|Queen of Broken Hearts|Moonrise|The Same Sweet Girls' Guide to Life: Advice from a Failed Southern Belle
Barbara Kingsolver		8-Apr	Annapolis, MD					 Female	 Pagan		 Straight	 Author	http://www.kingsolver.com/	 United States	Prodigal Summer	The Bean Trees|Homeland and Other Stories|Holding the Line: Women in the Great Arizona Mine Strike of 1983|Animal Dreams|Another America, Otra America|Pigs in Heaven|The Poisonwood Bible|The Beantrees, A Novel|Prodigal Summer|Small Wonder
Maxine Hong Kingston	 Maxine Hong	27-Oct	Stockton, CA					 Female			 Straight	 Author		 United States	The Woman Warrior	The Woman Warrior|China Men|Tripmaster Monkey, His Fake Book|Hawaii One Summer|To Be the Poet|The Fifth Book of Peace|I Love a Broad Margin to My Life
Sophie Kinsella	 Madeleine Sophie Townley	12-Dec	London, England					 Female			 Straight	 Author	http://www.sophiekinsella.com/	 England	Shopaholic	The Tennis Party|A Desirable Residence|Swimming Pool Sunday|The Gatecrasher|The Wedding Girl|Cocktails for Three|The Secret Dreamworld of a Shopaholic|Shopaholic Abroad|Sleeping Arrangements|Shopaholic Ties the Knot|Can You Keep a Secret?|Shopaholic and Sister|The Undomestic Goddess|Shopaholic and Baby
Rudyard Kipling	 Joseph Rudyard Kipling	30-Dec	Bombay, India	18-Jan	London, England	 Cerebral Hemorrhage	 Buried, 	 Male			 Straight	 Author, 		 England	The Jungle Book	Departmental Ditties|Plain Tales from the Hills|The Phantom Rickshaw|The Light that Failed|Life's Handicap|Barrack-Room Ballads|Many Inventions|The Jungle Book|The Second Jungle Book|Captains Courageous|The Day's Work|Kim|Just So Stories|Traffics and Discoveries|Puck of Pook's Hill|Actions and Reactions|Rewards and Fairies|Debits and Credits|Limits and Renewals|Something of Myself: For My Fiends Known and Unknown
Russell Kirk	 Russell Amos Kirk	19-Oct	Plymouth, MI	29-Apr	Mecosta, MI	 unspecified		 Male				 Author		 United States	The Conservative Mind	The Conservative Mind: From Burke to Santayana|A Program for Conservatives|Academic Freedom: An Essay in Definition|The Intelligent Woman's Guide to Conservatism|The American Cause|Confessions of a Bohemian Tory: Episodes and Reflections of a Vagrant Career|John Randolph of Roanoke: A Study in American Politics|The Political Principles of Robert A. Taft|Edmund Burke: A Genius Reconsidered|Enemies of the Permanent Things: Observations of Abnormity in Literature and Politics|Eliot and His Age: T. S. Eliot's Moral Imagination in the Twentieth Century|The Roots of American Order
Lincoln Kirstein	 Lincoln Edward Kirstein	4-May	Rochester, NY	5-Jan	New York City	 unspecified		 Male	Jewish		Gay	 Author		 United States	 Co-Founder, New York City Ballet	Dance|Ballet Alphabet|The Classic Ballet|Movement and Metaphor|The New York City Ballet|Nijinsky Dancing|Thirty Years with the New York City Ballet|Ballet: Bias and Belief|Quarry: A collection in lieu of Memoirs|The Poems of Lincoln Kirstein
Robert Kiyosaki	 Robert Toru Kiyosaki	8-Apr	Hilo, HI					 Male			 Straight	 Author	http://www.richdad.com/	 United States	Rich Dad, Poor Dad	
Andrew Klavan		1954	New York City					 Male	 Christian		 Straight	 Author	http://www.andrewklavan.com/	 United States	True Crime	
Naomi Klein		8-May	Montreal, Quebec, Canada					 Female	Jewish		 Straight	 Author	http://www.nologo.org/	 Canada	The Shock Doctrine	No Logo: Taking Aim at the Brand Bullies|Fences and Windows: Dispatches from the Frontlines of the Globalization Debate|The Shock Doctrine: The Rise of Disaster Capitalism
Sarah Kemble Knight	 Sarah Kemble	19-Apr	Boston, MA	25-Sep	New London, CT	 unspecified	 Buried, 	 Female			 Straight	 Author		 United States	The Journal of Mme. Knight	The Journal of Mme. Knight
Arthur Koestler	 Arthur Köstler	3-Sep	Budapest, Hungary	3-Mar	London, England	Suicide		 Male	Atheist		 Straight	 Author, 		 Hungary	Darkness at Noon	Spanish Testament|The Gladiators|Darkness at Noon|The Scum of the Earth|Dialogue with Death|Spanish Testament|Arrival and Departure|Twilight Bar|The Yogi and the Commissar|Thieves in the Night|The Challenge of Our Time|Insight and Outlook: An Inquiry into the Common Foundations of Science, Art and Social Ethics|Promise and Fulfillment: Palestine 1917-1949|The God that Failed|The Age of Longing|Arrow in the Blue|The Invisible Writing|Trail of the Dinosaur|Reflections on Hanging|The Sleepwalkers: A History of Man's Changing Vision of the Universe|The Watershed|The Sleepwalkers|The Lotus and the Robot|Control of the Mind|Hanged by the Neck: An Exposure of Capital Punishment|Suicide of a Nation? An Inquiry into the State of Britain Today|The Act of Creation|Studies in Psychology|The Ghost in the Machine|Drinkers of Infinity: Essays 1955-1967|Beyond Reductionism: New Perspectives in the Life Sciences|The Case of the Midwife Toad|The Roots of Coincidence|The Call-Girls|The Lion and the Ostrich|The Challenge of Chance|The Heel of Achilles: Essays 1968-1974|The Thirteenth Tribe: The Khazar Empire and Its Heritage|Life After Death|Janus: A Summing Up|Bricks to Babel: Selected Writings With Comments by the Author|Stranger in the Square
Lawrence J. Korb		9-Jul	New York City					 Male				 Author, Government		 United States	The Joint Chiefs of Staff	The Joint Chiefs of Staff: The First Twenty-Five Years|The System for Educating Military Officers in the U.S.|The Fall and Rise of the Pentagon: American Defense Policies in the 1970s|A Thoroughly Efficient Navy|American National Security: Policy and Process|Reshaping America's Military: Four Alternatives Presented As Presidential Speeches|A New National Security Strategy in an Age of Terrorists, Tyrants, and Weapons of Mass Destruction: Three Options Presented As Presidential Speeches
Jerzy Kosinski	 Jerzy Nikodem Kosinski	14-Jun	Lodz, Poland	3-May	New York City	Suicide		 Male	Jewish		 Straight	 Author		 United States	Being There	The Future Is Ours, Comrade: Conversations with the Russians|No Third Path|The Painted Bird|Steps|Being There|The Devil Tree|Cockpit|Passion Play|Pinball|The Hermit of 69th Street
Jon Krakauer		12-Apr	Brookline, MA					 Male			 Straight	 Author		 United States	Into Thin Air	Eiger Dreams: Ventures Among Men and Mountains|Into the Wild|Into Thin Air|Under the Banner of Heaven: A Story of a Violent Faith|Where Men Win Glory: The Odyssey of Pat Tillman
Paul Krassner		9-Apr	Brooklyn, NY					 Male	Atheist		 Straight	 Author	http://www.paulkrassner.com/	 United States	 Editor, 	Confessions of a Raving, Unconfined Nut: Misadventures in the Counter-Culture
Alfred Kreymborg	 Alfred Francis Kreymborg	10-Dec	New York City	 Aug-		 unspecified		 Male				 Author, 		 United States	 Founder of 	
Patrick Kroupa	 Patrick Karel Kroupa	20-Jan	Los Angeles, CA					 Male	 Other			 Author, 		 United States	 Lord Digital of LOD, 	
Thomas Kuhn	 Thomas Samuel Kuhn	18-Jul	Cincinnati, OH	17-Jun	Cambridge, MA	Cancer - unspecified		 Male			 Straight	 Author, 		 United States	Structure of Scientific Revolutions	The Copernican Revolution|The Structure of Scientific Revolutions|The Essential Tension: Selected Studies in Scientific Tradition and Change|Black-Body Theory and the Quantum Discontinuity, 1894-1912|The Road Since Structure: Philosophical Essays, 1970-1993
Milan Kundera		1-Apr	Brno, Czechia					 Male			 Straight	 Author		 Czechia	The Unbearable Lightness of Being	Zert|Life Is Elsewhere|The Book of Laughter and Forgetting|The Unbearable Lightness of Being|Immortality|Slowness|Identity|Farewell Waltz|Ignorance
Madeleine L'Engle	 Madeleine Camp	29-Nov	New York City	6-Sep	Litchfield, CT	 Natural Causes		 Female	 Christian		 Straight	 Author		 United States	A Wrinkle In Time	The Small Rain|Ilsa|And Both Were Young|Camilla Dickinson|A Winter's Love|Meet the Austins|A Wrinkle in Time|The Moon By Night|The Twenty-Four Days Before Christmas|The Arm of the Starfish|Camilla|The Love Letters|The Young Unicorns|Dance in the Desert|Lines Scribbled on an Envelope and Other Poems|The Other Side of the Sun|A Circle of Quiet|The Wind in the Door|Everyday Prayers|Prayers for Sunday|The Risk of Birth|The Summer of the Great Grandmother|Dragons in the Waters|The Irrational Season|A Swiftly Tilting Planet|The Weather of the Heart|Ladder of Angels|The Anti-Muffins|A Ring of Endless Light|Walking on Water: Reflections on Faith and Art|A Severed Wasp|The Sphinx at Dawn|And It Was Good: Reflections on Beginnings|A House Like a Lotus|Trailing Clouds of Glory: Spiritual Values in Children's Literature|Many Waters|A Stone for a Pillow: Journeys with Jacob|A Cry Like a Bell|Two-Part Invention|An Acceptable Time|Sold Into Egypt: Joseph’s Journey into Human Being|The Glorious Impossible|Certain Women|The Rock That is Higher|Anytime Prayers|Troubling a Star|Glimpses of Grace|A Live Coal in the Sea|Penguins and Golden Calves: Icons and Idols|Wintersong|Bright Evening Star|Friends for the Journey|Mothers and Daughters|Miracle on 10th Street|A Full House|Mothers and Sons|Prayerbook for Spiritual Friends|The Other Dog|Madeleine L'Engle Herself: Reflections on a Writing Life|18 Washington Square South: A Comedy in One Act|A Journey With Jonah
Lynda La Plante	 Lynda Titchmarsh	15-Mar	 Formby, Lancashire, England					 Female			 Straight	 Author	http://www.laplanteproductions.com/	 England	Prime Suspect	
Pär Lagerkvist	 Pär Fabian Lagerkvist	23-May	 Växjö, Sweden	11-Jul	Stockholm, Sweden	 unspecified	 Buried, Lidingö Kyrkogård, Lidingö, Sweden	 Male			 Straight	 Author, 		 Sweden	Barabbas	Ordkonst och Bildkonst|Teater|Ångest|Det Eviga Leendet|Gäst hos Verkligheten|Hjärtats Sånger|Det Besegrade Livet|Bödeln|Dvärgen|Barabbas|Mannen utan Själ|Låt Människan Leva
Selma Lagerlöf	 Selma Ottilia Lovisa Lagerlöf	20-Nov	 Östra Emterwik, Värmlands län, Sweden	16-Mar	 Mårbacka, Värmlands län, Sweden	Stroke	 Buried, Östra Emterwik Kyrkogård, Östra Emterwik, Sweden	 Female			Lesbian	 Author		 Sweden	 First female Nobel Prize for Literature	Gösta Berlings saga|Osynliga länkar|Antikrists mirakler|En herrgårdssägen|Jerusalem|Herr Arnes Penningar|Nils Holgerssons underbara resa genom Sverige|Mårbacka|Löwensköldska ringen|Charlotte Löwensköld|Anna Svärd|Ett barns memoarer|Dagbok för Selma Lagerlöf
Jhumpa Lahiri	 Nilanjana Sudeshna	11-Jul	London, England					 Female	Hindu		 Straight	 Author		 United States	Interpreter of Maladies	Interpreter of Maladies|The Namesake
Charles Lamb		10-Feb	London, England	27-Dec	 Edmonton, Middlesex, England	 unspecified	 Buried, All Saints Churchyard, Edmonton, London, England	 Male				 Author, 		 England	Essays of Elia	
Anne Lamott	 Anne Patricia Lamott	10-Apr	San Francisco, CA					 Female	Presbyterian		 Straight	 Author		 United States	Operating Instructions	Hard Laughter|Rosie|Joe Jones|All New People|Operating Instructions: A Journal Of My Son’s First Year|Bird by Bird: Some Instructions on Writing and Life|Crooked Little Heart|Traveling Mercies: Some Thoughts on Faith|Blue Shoe|Plan B: Further Thoughts on Faith|Grace (Eventually): Thoughts on Faith
Giuseppe Tomasi di Lampedusa		23-Dec	Palermo, Sicily, Italy	23-Jul	Rome, Italy	Cancer - unspecified	 Buried, Cimitero dei Cappuccini, Palermo, Italy	 Male	Roman Catholic		 Straight	 Author		 Italy	Il gattopardo	Il gattopardo|The Leopard|Racconti|Two Stories and a Memory
Rose Wilder Lane		5-Dec	De Smet, SD	30-Oct	Danbury, CT	Diabetes complications	 Buried, Mansfield Cemetery, Mansfield, MO	 Female			 Straight	 Author		 United States	The Discovery of Freedom	The Story of Art Smith|Henry Ford's Own Story|Diverging Roads|The Making of Herbert Hoover|The Peaks of Shala|He Was A Man|Hill-Billy|Cindy: A Romance of the Ozarks|Let the Hurricane Roar|Old Home Town|Free Land|The Discovery of Freedom: Man's Struggle Against Authority|Woman's Day Book of American Needlework
Andrew Lang		31-Mar	 Selkirk, Selkirkshire, Scotland	20-Jul	 Banchory, Kincardineshire, Scotland	 Heart Failure		 Male			 Straight	 Author, 		 Scotland	 Scottish man of letters, historian, author	
Valery Larbaud		29-Aug	 Vichy, France	2-Feb	 Vichy, France	 unspecified		 Male				 Author		 France	Poèmes par un riche amateur	Poèmes par un riche amateur|Fermina Marquez|Journal d'A.O. Barnabooth|Enfantines|Amants, heureux amants|Ce Vice impuni la lecture
Christopher Lasch	 Robert Christopher Lasch	1-Jun	Omaha, NE	14-Feb	Pittsford, NY	Cancer - unspecified		 Male			 Straight	 Author, 		 United States	The Culture of Narcissism	The New Radicalism in America|The Social Thought of Jane Addams|The Agony of the American Left|The American Liberals and the Russian Revolution|The World of Nations|Haven in a Heartless World|The Culture of Narcissism|The Minimal Self|The True and Only Heaven: Progress and Its Critics|The Revolt of the Elites
J. D. Lasica		 ?						 Male				 Author	http://www.jdlasica.com/	 United States	Darknet	Darknet: Hollywood's War Against the Digital Generation
Owen Lattimore		29-Jul	Washington, DC	31-May	Providence, RI	 unspecified		 Male			 Straight	 Author		 United States	 Scholar of Mongolia	The Desert Road to Turkestan|High Tartary|Manchuria, Cradle of Conflict: Cradle of Conflict|The Mongols of Manchuria: Their Tribal Divisions, Geographical Distribution, Historical Relations with Manchus and Chinese, and Present Political Problems|Inner Asian Frontiers of China|Mongol Journeys|The Making of Modern China: A Short History|Solution in Asia|An Inner Asian Approach to the Historical Geography of China|The Situation in Asia|Ordeal by Slander|Pivot of Asia: Sinkiang and the Inner Asian Frontiers of China and Russia|Nationalism and Revolution in Mongolia|Nomads and Commissars: Mongolia Revisited|Studies in Frontier History: Collected Papers, 1928-1958|Silks, Spices, and Empire: Asia Seen Through the Eyes of Its Discoverers
T. E. Lawrence	 Thomas Edward Lawrence	16-Aug	 Tremadoc, Caernarvonshire, Wales	19-May	Dorset, England	Accident - Motorcycle	 Buried, St. Nicholas Churchyard, Moreton, Dorset, England	 Male	 Other		Matter of Dispute	 Author, 		 Wales	 Lawrence of Arabia	Seven Pillars of Wisdom
Halldór Laxness	 Halldór Kiljan Gudjónsson	23-Apr	Reykjavik, Iceland	8-Feb	Reykjavik, Iceland	Alzheimer's	 Buried, Reykjavik Cemetery, Reykjavik, Iceland	 Male	 Other		 Straight	 Author		 Iceland	Iceland's Bell	Barn Náttúrunnar (Child of Nature)|Undir Helgahnúk  (Under the Holy Mountain)|Vefarinn Mikli frá Kasmir (The Great Weaver from Kashmir)|Salka Valka)|Sjalfstaettfolk  (Independent People)|Ljós Heimsins (The Light of the World)|Islandsklukkan (Iceland's Bell)|Atómstödin (The Atom Station)|Gerpla (The Happy Warriors)|Brekkukotsannáll (The Fish Can Sing)|Paradísarheimt (Paradise Reclaimed)|Kristnihald undir Jökli (Under the Glacier)|Innansveiterkronika (Domestic Chronicle)|Sagan af Brauddinu Dýra (The Bread of Life|Dagar hjá Múnkum (Days with Monks
Stephen Leacock	 Stephen Butler Leacock	30-Dec	 Swanmore, Hampshire, England	28-Mar	Toronto, Ontario, Canada	Cancer - Throat	 Buried, St. George the Martyr Churchyard, Jackson's Point, Ontario, Canada	 Male			 Straight	 Author, 		 Canada	Literary Lapses	Elements of Political Science|Practical Political Economy|Literary Lapses|Nonsense Novels|Sunshine Sketches of a Little Town|Behind the Beyond, and Other Contributions to Human Knowledge|Arcadian Adventures with the Idle Rich|Adventures of the Far North|The Dawn of Canadian History|Moonbeams from the Larger Lunacy|The Hohenzollerns in America|Winsome Winnie|The Unsolved Riddle of Social Justice|My Discovery of England|Winnowed Wisdom|Short Circuits|The Economic Prosperity of the British Empire|Mark Twain|Charles Dickens, His Life and Work|Humour: Its Theory and Technique|My Discovery of the West|The Boy I Left Behind Me
Munro Leaf		4-Dec	 Hamilton, MD	21-Dec		 unspecified		 Male				 Author		 United States	The Story of Ferdinand	
Fran Lebowitz	 Frances Ann Lebowitz	27-Oct	Morristown, NJ					 Female	Jewish		Lesbian	 Author, 		 United States	 Social satirist, 	Metropolitan Life|Social Studies|Mr. Chas and Lisa Sue Meet the Pandas|The Fran Lebowitz Reader
Jonah Lehrer		25-Jun	Los Angeles, CA					 Male			 Straight	 Author	http://www.jonahlehrer.com/	 United States	Imagine: How Creativity Works	Proust Was a Neuroscientist|How We Decide|Imagine: How Creativity Works
Fritz Leiber	 Fritz Reuter Leiber, Jr.	24-Dec	Chicago, IL	5-Sep	San Francisco, CA	 unspecified		 Male	Jewish		 Straight	 Author		 United States	Ship of Shadows	Gather, Darkness!|Conjure Wife|Green Millennium|The Big Time|The Silver Eggheads|The Wanderer|A Specter is Haunting Texas|Ship of Shadows|The Three of Swords|Swords' Masters
Michel Leiris	 Julien Michel Leiris	20-Apr	Paris, France	30-Sep	 Saint-Hilaire, Essonne, France	 unspecified	 Cremated, 	 Male			 Straight	 Author		 France	 Surrealist, ethnographer, autobiographer	Simulacre|Le Point Cardinal|L'Âge d'homme|Haut Mal|La Langue secrète des Dogons de Saga|La Règle du jeu|Aurora|Race et civilisation|La Possession et ses aspects théatraux chez les Éthiopiens du Gondar|Nuits sans nuit et quelques jours sans jour|Brisées|Au verso des images|Francis Bacon face et profil|Operratiques|Journal 1922-1989
